gene	ancestry	total_ac	max_an	n_variants	burden_raw	burden_1e4	module
ACKR1	afr	0	33480	4	0	0	A: Innate immunity
ACKR1	amr	1	44686	4	2.2378373539811128e-5	0.22378373539811128	A: Innate immunity
ACKR1	asj	0	26128	4	0	0	A: Innate immunity
ACKR1	eas	1	39698	4	2.519018590357197e-5	0.2519018590357197	A: Innate immunity
ACKR1	fin	0	53418	4	0	0	A: Innate immunity
ACKR1	nfe	2	1111960	4	1.798625849850714e-6	0.01798625849850714	A: Innate immunity
ACKR1	sas	0	86244	4	0	0	A: Innate immunity
CD36	afr	1528	33480	406	0.04563918757467145	456.39187574671445	A: Innate immunity
CD36	amr	1442	44724	409	0.03224219658348985	322.42196583489846	A: Innate immunity
CD36	asj	326	26134	409	0.012474171577255682	124.74171577255682	A: Innate immunity
CD36	eas	1676	39690	409	0.04222726127488032	422.2726127488032	A: Innate immunity
CD36	fin	30	53420	408	5.615874204417821e-4	5.615874204417821	A: Innate immunity
CD36	nfe	5776	1111928	408	0.005194580944089905	51.94580944089905	A: Innate immunity
CD36	sas	1464	86258	408	0.016972338797560806	169.72338797560806	A: Innate immunity
COL1A1	afr	8	33480	158	2.3894862604540023e-4	2.389486260454002	C: Skeletal
COL1A1	amr	6	44724	158	1.3415615776764153e-4	1.3415615776764154	C: Skeletal
COL1A1	asj	6	26136	158	2.295684113865932e-4	2.295684113865932	C: Skeletal
COL1A1	eas	8	39700	158	2.0151133501259446e-4	2.0151133501259446	C: Skeletal
COL1A1	fin	12	53420	158	2.2463496817671285e-4	2.2463496817671285	C: Skeletal
COL1A1	nfe	262	1112012	158	2.3560896824854408e-4	2.356089682485441	C: Skeletal
COL1A1	sas	16	86258	158	1.854900415033968e-4	1.8549004150339679	C: Skeletal
IFIH1	afr	688	33480	296	0.02054958183990442	205.49581839904423	A: Innate immunity
IFIH1	amr	1776	44724	296	0.03971022269922189	397.1022269922189	A: Innate immunity
IFIH1	asj	396	26136	295	0.015151515151515152	151.51515151515153	A: Innate immunity
IFIH1	eas	306	39700	295	0.007707808564231738	77.07808564231738	A: Innate immunity
IFIH1	fin	534	53420	296	0.009996256083863722	99.96256083863722	A: Innate immunity
IFIH1	nfe	38910	1112012	295	0.034990629597522326	349.90629597522326	A: Innate immunity
IFIH1	sas	646	86258	295	0.007489160425699646	74.89160425699646	A: Innate immunity
IKBKB	afr	10	33480	98	2.986857825567503e-4	2.986857825567503	A: Innate immunity
IKBKB	amr	4	44724	98	8.943743851176102e-5	0.8943743851176101	A: Innate immunity
IKBKB	asj	4	26136	98	1.5304560759106213e-4	1.5304560759106214	A: Innate immunity
IKBKB	eas	356	39700	98	0.008967254408060453	89.67254408060452	A: Innate immunity
IKBKB	fin	14	53420	98	2.620741295394983e-4	2.6207412953949834	A: Innate immunity
IKBKB	nfe	188	1112012	98	1.6906292378139804e-4	1.6906292378139804	A: Innate immunity
IKBKB	sas	16	86258	98	1.854900415033968e-4	1.8549004150339679	A: Innate immunity
IRF5	afr	12	33480	106	3.5842293906810036e-4	3.5842293906810037	B: Autoimmunity
IRF5	amr	30	44724	128	6.707807888382077e-4	6.707807888382077	B: Autoimmunity
IRF5	asj	8	26136	106	3.0609121518212427e-4	3.0609121518212428	B: Autoimmunity
IRF5	eas	8	39700	128	2.0151133501259446e-4	2.0151133501259446	B: Autoimmunity
IRF5	fin	6	53420	128	1.1231748408835643e-4	1.1231748408835642	B: Autoimmunity
IRF5	nfe	344	1112010	128	3.0934973606352463e-4	3.0934973606352463	B: Autoimmunity
IRF5	sas	20	86258	128	2.31862551879246e-4	2.31862551879246	B: Autoimmunity
LRP5	afr	10	33480	272	2.986857825567503e-4	2.986857825567503	C: Skeletal
LRP5	amr	14	44724	202	3.1303103479116357e-4	3.1303103479116356	C: Skeletal
LRP5	asj	12	26136	202	4.591368227731864e-4	4.591368227731864	C: Skeletal
LRP5	eas	8	39700	202	2.0151133501259446e-4	2.0151133501259446	C: Skeletal
LRP5	fin	16	53420	202	2.9951329090228376e-4	2.995132909022838	C: Skeletal
LRP5	nfe	498	1112012	272	4.478368938464693e-4	4.478368938464693	C: Skeletal
LRP5	sas	40	86258	272	4.63725103758492e-4	4.63725103758492	C: Skeletal
RUNX2	afr	10	33480	69	2.986857825567503e-4	2.986857825567503	C: Skeletal
RUNX2	amr	20	44724	69	4.471871925588051e-4	4.471871925588051	C: Skeletal
RUNX2	asj	2	26136	69	7.652280379553107e-5	0.7652280379553107	C: Skeletal
RUNX2	eas	6	39698	76	1.511411154214318e-4	1.511411154214318	C: Skeletal
RUNX2	fin	2	53420	76	3.743916136278547e-5	0.3743916136278547	C: Skeletal
RUNX2	nfe	96	1112004	76	8.633062470998305e-5	0.8633062470998305	C: Skeletal
RUNX2	sas	36	86258	69	4.173525933826428e-4	4.1735259338264274	C: Skeletal
SP7	afr	6	33480	51	1.7921146953405018e-4	1.7921146953405018	C: Skeletal
SP7	amr	2	44724	51	4.471871925588051e-5	0.44718719255880507	C: Skeletal
SP7	asj	40	26136	51	0.0015304560759106215	15.304560759106215	C: Skeletal
SP7	eas	18	39700	51	4.5340050377833753e-4	4.534005037783375	C: Skeletal
SP7	fin	4	53400	51	7.49063670411985e-5	0.7490636704119851	C: Skeletal
SP7	nfe	366	1111880	51	3.291722128287225e-4	3.291722128287225	C: Skeletal
SP7	sas	12	86258	51	1.3911753112754759e-4	1.391175311275476	C: Skeletal
STAT4	afr	4	33480	133	1.1947431302270011e-4	1.194743130227001	B: Autoimmunity
STAT4	amr	8	44724	133	1.7887487702352204e-4	1.7887487702352203	B: Autoimmunity
STAT4	asj	0	26136	133	0	0	B: Autoimmunity
STAT4	eas	10	39700	133	2.5188916876574307e-4	2.5188916876574305	B: Autoimmunity
STAT4	fin	0	53420	133	0	0	B: Autoimmunity
